event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,64,64,2543363,2642285,2543361,15,1000,0,0,3
2,76,140,824851,845714,773588,15,1000,0,0,8
3,56,196,2221105,2248952,494870,7,1003,1,0,6
4,73,269,2310991,2333848,402037,5,1006,1,0,3
5,90,359,222256,231913,121881,2,1009,1,0,-1
6,46,405,4391208,4432274,132991,1,1013,1,0,8
7,0,405,6582907,7418622,132390,13,1014,1,0,0
8,71,472,612460,615796,60270,0,1014,3,4,0
9,91,563,898947,922711,37158,4,1016,0,0,5
10,65,628,3483909,3521729,60638,4,1019,0,0,5
11,43,671,6659157,6685958,96922,23,1020,2,0,15
12,51,722,2060398,2075617,82082,40,1023,1,0,9
13,60,782,2472392,2518735,71333,40,1023,0,0,9
14,53,835,7176970,7218212,160681,40,1026,0,0,11
15,59,894,3510136,3540960,164003,20,1025,2,0,18
16,53,947,2150757,2182238,124946,20,1024,1,0,4
17,85,1032,2482970,2486821,147039,0,1018,10,0,1
18,48,1080,5592981,5657629,206038,0,1019,0,0,4
19,41,1121,8091050,8104922,389578,11,1016,1,0,7
20,74,1195,1759358,1785943,351215,4,1015,2,0,7
21,85,1280,736457,757297,272999,5,1017,1,0,3
22,80,1360,1250810,1259511,273940,5,1015,0,0,15
23,92,1452,505005,519012,179522,8,1014,1,0,15
24,52,1504,3054495,3094696,191955,20,1016,1,0,8
25,87,1591,3126933,3140798,181776,11,1013,2,0,2
26,53,1644,2781483,2795924,152775,2,1012,1,0,22
27,86,1730,1647520,1662743,169365,0,1014,1,0,20
28,38,1764,4245913,4256726,266142,19,1014,2,4,0
29,96,1860,2717818,2733979,369987,35,1014,1,0,0
30,72,1932,755927,778603,283212,35,1014,0,0,5
31,49,1981,7811861,7829694,360468,30,1013,1,0,1
32,48,2029,4234550,4277602,427783,30,1010,0,0,21
33,66,2095,3024436,3040865,394081,7,1007,1,0,11
34,122,2217,343385,349476,303414,3,1004,0,0,25
35,32,2249,8506408,8581291,331036,3,1003,0,0,6
36,95,2344,1227561,1235668,339784,1,1005,1,0,7
37,70,2414,1351906,1365663,321503,13,1001,1,0,6
38,71,2485,250046,253052,219337,26,997,2,0,7
